label	chapter	text_content
韓非子	主道	道者萬物之始是非之紀也是以明君守始以知萬物之源治紀以知善敗之端故虛靜以待令令名自命也令事自定也虛則知實之情靜則知動者正有言者自為名有事者自為形形名參同君乃無事焉歸之其情故曰君無見其所欲君見其所欲臣自將雕琢君無見其意君見其意臣將自表異故曰去好去惡臣乃見素去舊去智臣乃自備故有智而不以慮使萬物知其處有行而不以賢觀臣下之所因有勇而不以怒使群臣盡其武是故去智而有明去賢而有功去勇而有強群臣守職百官有常因能而使之是謂習常
韓非子	主道	故曰寂乎其無位而處漻乎莫得其所明君無為於上群臣竦懼乎下明君之道使智者盡其慮而君因以斷事故君不窮於智賢者敕其材君因而任之故君不窮於能有功則君有其賢有過則臣任其罪故君不窮於名是故不賢而為賢者師不智而為智者正臣有其勞君有其成功此之謂賢主之經也
韓非子	主道	道在不可見用在不可知虛靜無事以闇見疵見而不見聞而不聞知而不知知其言以往勿變勿更以參合閱焉官有一人勿令通言則萬物皆盡函掩其跡匿其端下不能原去其智絕其能下不能意保吾所以往而稽同之謹執其柄而固握之絕其能望破其意毋使人欲之不謹其閉不固其門虎乃將存不慎其事不掩其情賊乃將生弒其主代其所人莫不與故謂之虎處其主之側為姦臣聞其主之忒故謂之賊散其黨收其餘閉其門奪其輔國乃無虎大不可量深不可測同合刑名審驗法式擅為者誅國乃無賊
韓非子	主道	是故人主有五壅臣閉其主曰壅臣制財利曰壅臣擅行令曰壅臣得行義曰壅臣得樹人曰壅臣閉其主則主失位臣制財利則主失德臣擅行令則主失制臣得行義則主失明臣得樹人則主失黨此人主之所以獨擅也非人臣之所以得操也
韓非子	主道	人主之道靜退以為寶不自操事而知拙與巧不自計慮而知福與咎是以不言而善應不約而善增言已應則執其契事已增則操其符符契之所合賞罰之所生也故群臣陳其言君以其言授其事事以責其功功當其事事當其言則賞功不當其事事不當其言則誅明君之道臣不陳言而不當是故明君之行賞也曖乎如時雨百姓利其澤其行罰也畏乎如雷霆神聖不能解也故明君無偷賞無赦罰賞偷則功臣墮其業赦罰則姦臣易為非是故誠有功則雖疏賤必賞誠有過則雖近愛必誅近愛必誅則疏賤者不怠而近愛者不驕也
韓非子	二柄	明主之所導制其臣者二柄而已矣二柄者刑德也何謂刑德曰殺戮之謂刑慶賞之謂德為人臣者畏誅罰而利慶賞故人主自用其刑德則群臣畏其威而歸其利矣故世之姦臣則不然所惡則能得之其主而罪之所愛則能得之其主而賞之今人主非使賞罰之威利出於己也聽其臣而行其賞罰則一國之人皆畏其臣而易其君歸其臣而去其君矣此人主失刑德之患也夫虎之所以能服狗者爪牙也使虎釋其爪牙而使狗用之則虎反服於狗矣人主者以刑德制臣者也今君人者釋其刑德而使臣用之則君反制於臣矣
韓非子	二柄	故田常上請爵祿而行之群臣下大斗斛而施於百姓此簡公失德而田常用之也故簡公見弒子罕謂宋君曰夫慶賞賜予者民之所喜也君自行之殺戮刑罰者民之所惡也臣請當之於是宋君失刑而子罕用之故宋君見劫田常徒用德而簡公弒子罕徒用刑而宋君劫故今世為人臣者兼刑德而用之則是世主之危甚於簡公宋君也故劫殺擁蔽之主非失刑德而使臣用之而不危亡者則未嘗有也
韓非子	二柄	人主將欲禁姦則審合刑名者言異事也為人臣者陳而言君以其言授之事專以其事責其功功當其事事當其言則賞功不當其事事不當其言則罰故群臣其言大而功小者則罰非罰小功也罰功不當名也群臣其言小而功大者亦罰非不說於大功也以為不當名也害甚於有大功故罰昔者韓昭侯醉而寢典冠者見君之寒也故加衣於君之上覺寢而說問左右曰誰加衣者左右對曰典冠
韓非子	二柄	君因兼罪典衣與典冠其罪典衣以為失其事也其罪典冠以為越其職也非不惡寒也以為侵官之害甚於寒故明主之畜臣臣不得越官而有功不得陳言而不當越官則死不當則罪守業其官所言者貞也則群臣不得朋黨相為矣
韓非子	二柄	人主有二患任賢則臣將乘於賢以劫其君妄舉則事沮不勝故人主好賢則群臣飾行以要君欲則是群臣之情不效群臣之情不效則人主無以異其臣矣故越王好勇而民多輕死楚靈王好細腰而國中多餓人齊桓公妒而好內故豎刁自宮以治內桓公好味易牙蒸其子首而進之燕子噲好賢故子之明不受國故君見惡則群臣匿端君見好則群臣誣能人主欲見則群臣之情態得其資矣
